Datetime,DateHourKey,Hour,TimeOfDay,DayNumber,WeekDayNumber,WeekDayName,WeekendFlag,MonthNumber,MonthName,Year,HolidayFlag,HolidayName
2023-01-01 00:00:00,2023010100,0,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 01:00:00,2023010101,1,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 02:00:00,2023010102,2,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 03:00:00,2023010103,3,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 04:00:00,2023010104,4,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 05:00:00,2023010105,5,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 06:00:00,2023010106,6,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 07:00:00,2023010107,7,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 08:00:00,2023010108,8,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 09:00:00,2023010109,9,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 10:00:00,2023010110,10,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 11:00:00,2023010111,11,AM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 12:00:00,2023010112,12,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 13:00:00,2023010113,13,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 14:00:00,2023010114,14,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 15:00:00,2023010115,15,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 16:00:00,2023010116,16,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 17:00:00,2023010117,17,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 18:00:00,2023010118,18,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 19:00:00,2023010119,19,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 20:00:00,2023010120,20,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 21:00:00,2023010121,21,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 22:00:00,2023010122,22,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-01 23:00:00,2023010123,23,PM,1,6,Sunday,1,1,January,2023,1,New Year's Day
2023-01-02 00:00:00,2023010200,0,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 01:00:00,2023010201,1,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 02:00:00,2023010202,2,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 03:00:00,2023010203,3,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 04:00:00,2023010204,4,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 05:00:00,2023010205,5,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 06:00:00,2023010206,6,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 07:00:00,2023010207,7,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 08:00:00,2023010208,8,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 09:00:00,2023010209,9,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 10:00:00,2023010210,10,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 11:00:00,2023010211,11,AM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 12:00:00,2023010212,12,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 13:00:00,2023010213,13,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 14:00:00,2023010214,14,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 15:00:00,2023010215,15,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 16:00:00,2023010216,16,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 17:00:00,2023010217,17,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 18:00:00,2023010218,18,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 19:00:00,2023010219,19,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 20:00:00,2023010220,20,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 21:00:00,2023010221,21,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 22:00:00,2023010222,22,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-02 23:00:00,2023010223,23,PM,2,0,Monday,0,1,January,2023,1,New Year's Day (observed)
2023-01-03 00:00:00,2023010300,0,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 01:00:00,2023010301,1,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 02:00:00,2023010302,2,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 03:00:00,2023010303,3,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 04:00:00,2023010304,4,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 05:00:00,2023010305,5,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 06:00:00,2023010306,6,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 07:00:00,2023010307,7,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 08:00:00,2023010308,8,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 09:00:00,2023010309,9,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 10:00:00,2023010310,10,AM,3,1,Tuesday,0,1,January,2023,0,None
2023-01-03 11:00:00,2023010311,11,AM,3,1,Tuesday,0,1,January,2023,0,None
