Datetime,DateHourKey,Hour,TimeOfDay,DayNumber,WeekDayNumber,WeekDayName,WeekendFlag,MonthNumber,MonthName,Year,HolidayFlag,HolidayName
2023-12-01 00:00:00,2023120100,0,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 01:00:00,2023120101,1,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 02:00:00,2023120102,2,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 03:00:00,2023120103,3,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 04:00:00,2023120104,4,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 05:00:00,2023120105,5,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 06:00:00,2023120106,6,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 07:00:00,2023120107,7,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 08:00:00,2023120108,8,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 09:00:00,2023120109,9,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 10:00:00,2023120110,10,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 11:00:00,2023120111,11,AM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 12:00:00,2023120112,12,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 13:00:00,2023120113,13,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 14:00:00,2023120114,14,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 15:00:00,2023120115,15,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 16:00:00,2023120116,16,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 17:00:00,2023120117,17,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 18:00:00,2023120118,18,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 19:00:00,2023120119,19,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 20:00:00,2023120120,20,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 21:00:00,2023120121,21,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 22:00:00,2023120122,22,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-01 23:00:00,2023120123,23,PM,335,4,Friday,0,12,December,2023,0,Unknown
2023-12-02 00:00:00,2023120200,0,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 01:00:00,2023120201,1,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 02:00:00,2023120202,2,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 03:00:00,2023120203,3,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 04:00:00,2023120204,4,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 05:00:00,2023120205,5,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 06:00:00,2023120206,6,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 07:00:00,2023120207,7,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 08:00:00,2023120208,8,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 09:00:00,2023120209,9,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 10:00:00,2023120210,10,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 11:00:00,2023120211,11,AM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 12:00:00,2023120212,12,PM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 13:00:00,2023120213,13,PM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 14:00:00,2023120214,14,PM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 15:00:00,2023120215,15,PM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 16:00:00,2023120216,16,PM,336,5,Saturday,1,12,December,2023,0,Unknown
2023-12-02 17:00:00,2023120217,17,PM,336,5,Saturday,1,12,December,2023,0,Unknown
