ReportNumber,VehicleCrashKey,DriverAtFault,DriverInjurySeverity,DriverSubstanceAbuse,DriverDistractedBy,VehicleType,VehicleMovement,VehicleGoingDir,VehicleDamageExtent,SpeedLimit,ParkedVehicle,SubstanceAbuseContributed,VehiclesCrashedTotal,VehicleKey,LocalCaseNumber,AgencyName,ACRSReportType,HitRun,LaneDirection,LaneNumber,NumberOfLanes,RoadGrade,NonTraffic,OffRoadIncident,AccidentAtFault,CollisionType,SurfaceCondition,Light,TrafficControl,Junction,IntersectionType,RoadAlignment,RoadCondition,RoadDivision,Latitude,Longitude,RoadKey_x,CrossStreetKey,NonMotoristTotal,NonMotoristInjury,NonMotoristFatal,DateHourKey,LocationAreaKey,Make,Year_x,BaseModel,BodyClass,Cylinders,Displacement,Transmission,Drivetrain,FuelType,CityMPG,HighwayMPG,RoadName_x,RouteType_x,RoadName_y,RouteType_y,RoadKey_y,Zipcode,MailCity,ShapeLength,ShapeArea,CentroidLatitude,CentroidLongitude,Temperature,Humidity,Precipitation,Rain,Snow,WindSpeed,WindDirection,WeatherKey,Datetime,Hour,TimeOfDay,DayNumber,WeekDayNumber,WeekDayName,WeekendFlag,MonthNumber,MonthName,Year_y,HolidayFlag,HolidayName
MCP3071002G,91C243A3CF6F413593F9237DCE1A210D,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,30,False,False,1,1143200118883287,230069227,Montgomery County Police,Property Damage ,True,West,2,2,LEVEL,False,False,DRIVER,OTHER,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.17524962,-77.24094966,5890474799012741,5240237303129498,0,0,0,2023120102,7723271939208770,Hyundai,0,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,GUNNERS BRANCH RD,County,ARCHDALE RD,County,5240237303129498,20876,GERMANTOWN,135940.688675,325819647.952,39.20877090545198,-77.23271948535775,3.5700002,68.53507,0.0,0.0,0.0,10.028439,201.03758,231201027232792087,2023-12-01 02:00:00,2,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP33390033,701AB9AAA1E545178D4E5B5473ABC515,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,North,SUPERFICIAL,35,False,False,3,1986467687248466,230069249,Montgomery County Police,Injury ,False,North,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09368383,-77.07930467,8554262040045692,3786639377990067,0,0,0,2023120108,7705486039088590,Ford,2007,Edge,Sport Utility Vehicle - 2WD,6.0,3.5,Automatic 6,AWD,Regular Gasoline,16,22,GEORGIA AVE,Maryland (State),BEL PRE RD,County,3786639377990067,20906,SILVER SPRING,133207.174949,359110751.771,39.08859082555049,-77.05486091907257,2.4325001,79.70478,0.0,0.0,0.0,9.47012,188.74608,231201087054890885,2023-12-01 08:00:00,8,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP33390033,2C3A1E5EE6204FE0B38E5F9FF06095AE,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,North,DISABLING,35,False,False,3,1314430843980275,230069249,Montgomery County Police,Injury ,False,North,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09368383,-77.07930467,8554262040045692,3786639377990067,0,0,0,2023120108,7705486039088590,Toyota,2008,Corolla,Compact Cars,4.0,1.8,Automatic 4,FWD,Regular Gasoline,26,35,GEORGIA AVE,Maryland (State),BEL PRE RD,County,3786639377990067,20906,SILVER SPRING,133207.174949,359110751.771,39.08859082555049,-77.05486091907257,2.4325001,79.70478,0.0,0.0,0.0,9.47012,188.74608,231201087054890885,2023-12-01 08:00:00,8,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP33390033,5B953A16487B45A5844A8CFE7B54DF0C,True,NO APPARENT INJURY,NONE,INATTENTIVE OR LOST IN THOUGHT,PASSENGER,MOVING CONSTANT SPEED,North,FUNCTIONAL,35,False,False,3,1128146390342610,230069249,Montgomery County Police,Injury ,False,North,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09368383,-77.07930467,8554262040045692,3786639377990067,0,0,0,2023120108,7705486039088590,Subaru,2009,Forester,Sport Utility Vehicle - 4WD,4.0,2.5,Automatic 4,AWD,Regular Gasoline,20,24,GEORGIA AVE,Maryland (State),BEL PRE RD,County,3786639377990067,20906,SILVER SPRING,133207.174949,359110751.771,39.08859082555049,-77.05486091907257,2.4325001,79.70478,0.0,0.0,0.0,9.47012,188.74608,231201087054890885,2023-12-01 08:00:00,8,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP3143005B,F3E9D17DEFB04AEA8D58AB7C677765F0,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,North,FUNCTIONAL,15,False,False,2,9514804732685886,230069250,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.03866833,-77.07747667,3977719113483138,8886326516954162,0,0,0,2023120108,7707527239025656,Honda,2007,Odyssey,Minivan - 2WD,6.0,3.5,Automatic 5,FWD,Regular Gasoline,16,23,DENFELD AVE,County,DEWEY RD,County,8886326516954162,20895,KENSINGTON,70838.1492765,106180148.023,39.02565657266069,-77.07527294437958,2.2955,81.74451,0.0,0.0,0.0,9.47012,188.74608,231201087075290256,2023-12-01 08:00:00,8,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP3143005B,488CAFC01ED34311BB360FF3ECE1ECC5,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,15,False,False,2,9088251191717951,230069250,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.03866833,-77.07747667,3977719113483138,8886326516954162,0,0,0,2023120108,7707527239025656,Toyota,2020,Camry,Midsize Cars,4.0,2.5,Automatic 8,FWD,Regular Gasoline,22,34,DENFELD AVE,County,DEWEY RD,County,8886326516954162,20895,KENSINGTON,70838.1492765,106180148.023,39.02565657266069,-77.07527294437958,2.2955,81.74451,0.0,0.0,0.0,9.47012,188.74608,231201087075290256,2023-12-01 08:00:00,8,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP32800049,3F8B104CB9AE4E66967C286DABEEBDD5,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,DISABLING,40,False,False,2,1546341609629170,230069257,Montgomery County Police,Injury ,False,South,2,4,LEVEL,False,False,DRIVER,ANGLE MEETS RIGHT TURN,DRY,DAYLIGHT,NO CONTROLS,COMMERCIAL DRIVEWAY,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0566195,-76.9672425,2620072274155517,7440230099901702,0,0,0,2023120109,7698062539067210,Acura,2022,MDX,Small Sport Utility Vehicle 2WD,6.0,3.5,Automatic 10,AWD,Premium Gasoline,19,21,COLUMBIA PIKE,US (State),TECH RD,Other Public Roadway,7440230099901702,20904,SILVER SPRING,111353.924037,378079609.413,39.067210105337146,-76.9806252802688,2.861,80.05856,0.0,0.0,0.0,7.754637,158.19853,231201096980690672,2023-12-01 09:00:00,9,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP32800049,F8A769A7796540F2A71A62A3B3B7D537,True,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING RIGHT TURN,East,DISABLING,30,False,False,2,3190889673616699,230069257,Montgomery County Police,Injury ,False,South,2,4,LEVEL,False,False,DRIVER,ANGLE MEETS RIGHT TURN,DRY,DAYLIGHT,NO CONTROLS,COMMERCIAL DRIVEWAY,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0566195,-76.9672425,2620072274155517,7440230099901702,0,0,0,2023120109,7698062539067210,Ram,2022,1500,Standard Pickup Trucks 2WD,6.0,5.7,Automatic 8,RWD,Midgrade Gasoline,15,21,COLUMBIA PIKE,US (State),TECH RD,Other Public Roadway,7440230099901702,20904,SILVER SPRING,111353.924037,378079609.413,39.067210105337146,-76.9806252802688,2.861,80.05856,0.0,0.0,0.0,7.754637,158.19853,231201096980690672,2023-12-01 09:00:00,9,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP3238002W,9C50FCF79F2145529DFD6D86558F7014,True,NO APPARENT INJURY,ALCOHOL,NOT DISTRACTED,PASSENGER,UNKNOWN,East,DISABLING,25,False,False,1,7871367603793141,230069262,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SINGLE VEHICLE,DRY,DAYLIGHT,UNKNOWN,NON INTERSECTION,UNKNOWN,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.98795865,-77.0231445,4350737957040345,6732058886739677,0,0,0,2023120109,7703596439001907,Toyota,2016,RAV4,Small Sport Utility Vehicle 4WD,4.0,2.5,Automatic 6,AWD,Regular Gasoline,22,28,PHILADELPHIA AVE,County,FENTON ST,County,6732058886739677,20910,SILVER SPRING,82846.1568889,126320091.137,39.00190768010143,-77.03596497235911,2.7465,80.33341,0.0,0.0,0.0,6.9899354,168.11136,231201097035990019,2023-12-01 09:00:00,9,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP2965007W,F58D332357A64A208ED0F195F4BDC7D5,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STARTING FROM PARKED,UNKNOWN,NO DAMAGE,5,False,False,1,6741245911947576,230069258,Montgomery County Police,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,SINGLE VEHICLE,UNKNOWN,DAYLIGHT,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.10983358,-76.99591428,7781945108562677,7781945108562677,0,0,0,2023120109,7699078639113935,GMC,1999,Yukon,Sport Utility Vehicle - 2WD,8.0,5.7,Automatic 4,AWD,Regular Gasoline,12,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7781945108562677,20905,SILVER SPRING,177248.423989,356085971.377,39.113935979088154,-76.99078608747817,2.5705,79.14617,0.0,0.0,0.0,7.968939,161.56496,231201096990791139,2023-12-01 09:00:00,9,AM,335,4,Friday,0,12,December,2023,0,Unknown
