RoadName,RouteType,RoadKey
COLESVILLE RD,US (State),7228418003688286
GEORGIA AVE,Maryland (State),8554262040045692
BONIFANT RD,County,1446899345320601
MARYLAND AVE,Municipality,5182918771397894
UNKNOWN,UNKNOWN,7781945108562677
UNIVERSITY BLVD E,Maryland (State),5005946941929880
MIDCOUNTY HWY,County,4810614249402166
PINEY BRANCH RD,Maryland (State),7883959838840872
WATKINS MILL RD,Municipality,3200386783445046
BRIGGS CHANEY RD,County,6740740251212367
WILSON LA,Maryland (State),2258501311527651
KENDALL ST,County,7343994303481466
SHADY GROVE RD,County,1611524329361443
RANDOLPH RD,County,8073720238398338
WHEAT FALL DR,County,3753142606609649
OLD HUNDRED RD,Maryland (State),3702584804609942
ROLLINS AVE,Municipality,8095899208342463
CLOPPER RD,Maryland (State),278210474574513
FENTON ST,County,6732058886739677
ROCKVILLE PIKE,Maryland (State),5925405510732472
S FREDERICK RD,Maryland (State),6273686865093515
CONNECTICUT AVE,Maryland (State),1627793738140795
WISCONSIN AVE,Maryland (State),7307765282026999
RIDGE RD,Maryland (State),2800615797607229
CHERRY HILL RD,County,6224438663177179
OLD GEORGETOWN RD,Maryland (State),4494898042244063
RAMP 9 FR IS 370 EB TO SHADY GROVE RD,Ramp,1872442089387925
WESTLAKE TERR,County,1296267517137739
MONTROSE RD,County,2286014561620445
GOLDENROD LA,County,4291342577990531
BEACH DR,Government,1431569093396660
MUNCASTER MILL RD,Maryland (State),9915941979319439
GOLDSTONE CT,County,1379406150518200
MAPLE AVE,County,5416361455970485
MONTGOMERY VILLAGE AVE,County,7752142353575602
FERRARA DR,County,6582694415826079
NORBECK RD,Maryland (State),418179445979580
VEIRS MILL RD,Maryland (State),9290911226978796
WATERFORD HILLS BLVD,County,2897923035674481
E GUDE DR,County,3262464624971607
GAITHER RD,County,7127997691671892
TOM FOX AVE,Municipality,7390017226513856
16TH ST,Maryland (State),118399697147806
FREDERICK RD,Maryland (State),4972572914805173
NEW HAMPSHIRE AVE,Maryland (State),8901981419077344
RIDGE RD,County,6418383227647657
SPENCERVILLE RD,Maryland (State),4498045280709180
WELLER RD,County,3597642028494755
BEL PRE RD,County,3786639377990067
HENDERSON CORNER RD,Other Public Roadway,9454552087982816
S SUMMIT AVE,Municipality,1765867284751009
E RANDOLPH RD,County,6352331937544090
JONES BRIDGE RD,County,8313298178840333
CALHOUN PLACE,UNKNOWN,5084604089395685
