ReportNumber,VehicleCrashKey,DriverAtFault,DriverInjurySeverity,DriverSubstanceAbuse,DriverDistractedBy,VehicleType,VehicleMovement,VehicleGoingDir,VehicleDamageExtent,SpeedLimit,ParkedVehicle,SubstanceAbuseContributed,VehiclesCrashedTotal,VehicleKey,LocalCaseNumber,AgencyName,ACRSReportType,HitRun,LaneDirection,LaneNumber,NumberOfLanes,RoadGrade,NonTraffic,OffRoadIncident,AccidentAtFault,CollisionType,SurfaceCondition,Light,TrafficControl,Junction,IntersectionType,RoadAlignment,RoadCondition,RoadDivision,Latitude,Longitude,RoadKey,CrossStreetKey,NonMotoristTotal,NonMotoristInjury,NonMotoristFatal,DateHourKey,LocationAreaKey
MCP3071002G,91C243A3CF6F413593F9237DCE1A210D,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,30,False,False,1,1143200118883287,230069227,Montgomery County Police,Property Damage ,True,West,2,2,LEVEL,False,False,DRIVER,OTHER,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.17524962,-77.24094966,5890474799012741,5240237303129498,0,0,0,2023120102,7723271939208770
MCP33390033,701AB9AAA1E545178D4E5B5473ABC515,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,North,SUPERFICIAL,35,False,False,3,1986467687248466,230069249,Montgomery County Police,Injury ,False,North,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09368383,-77.07930467,8554262040045692,3786639377990067,0,0,0,2023120108,7705486039088590
MCP33390033,2C3A1E5EE6204FE0B38E5F9FF06095AE,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,North,DISABLING,35,False,False,3,1314430843980275,230069249,Montgomery County Police,Injury ,False,North,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09368383,-77.07930467,8554262040045692,3786639377990067,0,0,0,2023120108,7705486039088590
MCP33390033,5B953A16487B45A5844A8CFE7B54DF0C,True,NO APPARENT INJURY,NONE,INATTENTIVE OR LOST IN THOUGHT,PASSENGER,MOVING CONSTANT SPEED,North,FUNCTIONAL,35,False,False,3,1128146390342610,230069249,Montgomery County Police,Injury ,False,North,3,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09368383,-77.07930467,8554262040045692,3786639377990067,0,0,0,2023120108,7705486039088590
MCP3143005B,F3E9D17DEFB04AEA8D58AB7C677765F0,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,North,FUNCTIONAL,15,False,False,2,9514804732685886,230069250,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.03866833,-77.07747667,3977719113483138,8886326516954162,0,0,0,2023120108,7707527239025656
MCP3143005B,488CAFC01ED34311BB360FF3ECE1ECC5,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,15,False,False,2,9088251191717951,230069250,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.03866833,-77.07747667,3977719113483138,8886326516954162,0,0,0,2023120108,7707527239025656
MCP32800049,3F8B104CB9AE4E66967C286DABEEBDD5,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,DISABLING,40,False,False,2,1546341609629170,230069257,Montgomery County Police,Injury ,False,South,2,4,LEVEL,False,False,DRIVER,ANGLE MEETS RIGHT TURN,DRY,DAYLIGHT,NO CONTROLS,COMMERCIAL DRIVEWAY,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0566195,-76.9672425,2620072274155517,7440230099901702,0,0,0,2023120109,7698062539067210
MCP32800049,F8A769A7796540F2A71A62A3B3B7D537,True,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING RIGHT TURN,East,DISABLING,30,False,False,2,3190889673616699,230069257,Montgomery County Police,Injury ,False,South,2,4,LEVEL,False,False,DRIVER,ANGLE MEETS RIGHT TURN,DRY,DAYLIGHT,NO CONTROLS,COMMERCIAL DRIVEWAY,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0566195,-76.9672425,2620072274155517,7440230099901702,0,0,0,2023120109,7698062539067210
MCP3238002W,9C50FCF79F2145529DFD6D86558F7014,True,NO APPARENT INJURY,ALCOHOL,NOT DISTRACTED,PASSENGER,UNKNOWN,East,DISABLING,25,False,False,1,7871367603793141,230069262,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SINGLE VEHICLE,DRY,DAYLIGHT,UNKNOWN,NON INTERSECTION,UNKNOWN,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.98795865,-77.0231445,4350737957040345,6732058886739677,0,0,0,2023120109,7703596439001907
MCP2965007W,F58D332357A64A208ED0F195F4BDC7D5,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STARTING FROM PARKED,UNKNOWN,NO DAMAGE,5,False,False,1,6741245911947576,230069258,Montgomery County Police,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,SINGLE VEHICLE,UNKNOWN,DAYLIGHT,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.10983358,-76.99591428,7781945108562677,7781945108562677,0,0,0,2023120109,7699078639113935
DM8478002F,D02DD54D86474B38B2EC582867B139D8,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,ACCELERATING,UNKNOWN,FUNCTIONAL,5,False,False,1,4834438297196376,230069264,Takoma Park Police Depart,Property Damage ,True,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,SAME DIR REAR END,UNKNOWN,DAYLIGHT,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,38.98672489,-76.98772022,7781945108562677,7781945108562677,0,0,0,2023120110,7700204038982546
MCP29680059,D5C0DF93DECC489494AFA794926FE806,True,NO APPARENT INJURY,UNKNOWN,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,East,SUPERFICIAL,35,False,False,2,8961481787963722,230069284,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.04086667,-77.159195,5080022737134299,776419263324954,0,0,0,2023120111,7722348939035838
MCP29680059,8CEA6B3DED404177BC1252B40445636E,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,FUNCTIONAL,35,False,False,2,5867016717182288,230069284,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.04086667,-77.159195,5080022737134299,776419263324954,0,0,0,2023120111,7722348939035838
MCP3348001P,46B30211A7E9471EA37DE5511EEBA435,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,35,False,False,1,2134147717635417,230069287,Montgomery County Police,Property Damage ,False,East,0,2,LEVEL,False,False,DRIVER,SINGLE VEHICLE,UNKNOWN,DAYLIGHT,UNKNOWN,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.109355,-77.08129333,9915941979319439,418179445979580,0,0,0,2023120112,7709494939102237
MCP93650027,2DF6782DF2FC4FBE8D44E67EC6F018B1,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,North,FUNCTIONAL,55,False,False,2,1374907413150362,230069292,Montgomery County Police,Injury ,False,North,1,3,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10405521,-76.93308135,2620072274155517,5009223039224662,0,0,0,2023120112,7693347839109025
MCP93650027,A56BABF9151E4302A65F16F029E62DE7,False,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,FUNCTIONAL,55,False,False,2,3097115414319252,230069292,Montgomery County Police,Injury ,False,North,1,3,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10405521,-76.93308135,2620072274155517,5009223039224662,0,0,0,2023120112,7693347839109025
MCP93650028,4EB5510184F041ECB0D6B2120B569AC2,True,NO APPARENT INJURY,NONE,UNKNOWN,BUS,SLOWING OR STOPPING,West,NO DAMAGE,15,False,False,2,6691677547236723,230069308,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.07675862,-76.95777913,2620072274155517,9379816367228454,0,0,0,2023120113,7698062539067210
MCP93650028,CBBD5A1C49DF4A5BBCBAC26C7D5AE7FE,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,West,SUPERFICIAL,15,False,False,2,6578981153251807,230069308,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.07675862,-76.95777913,2620072274155517,9379816367228454,0,0,0,2023120113,7698062539067210
MCP2962008L,E14066F6AA2D4F1B94D29B74DC095C0B,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,40,False,False,2,9448444304362588,230069303,Montgomery County Police,Injury ,False,West,2,2,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15613314,-77.26454295,278210474574513,575358522950523,0,0,0,2023120113,7729807639132189
MCP2962008L,BE9713E824BF4409B9DCE791FE466C0B,True,SUSPECTED MINOR INJURY,NONE,UNKNOWN,PASSENGER,STARTING FROM LANE,South,DISABLING,25,False,False,2,169882034046610,230069303,Montgomery County Police,Injury ,False,West,2,2,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15613314,-77.26454295,278210474574513,575358522950523,0,0,0,2023120113,7729807639132189
MCP2399007H,06A44749C6574DC5B7E49F5D36C4D78A,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,BACKING,North,NO DAMAGE,5,False,False,2,4388222181599303,230069332,Montgomery County Police,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.1831371,-77.2157308,7781945108562677,7781945108562677,0,0,0,2023120114,7722140839165105
MCP2399007H,900C57C1D32A4AEDB53F20B0E96B383D,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,BUS,STOPPED IN TRAFFIC LANE,South,NO DAMAGE,5,False,False,2,6691677547236723,230069332,Montgomery County Police,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.1831371,-77.2157308,7781945108562677,7781945108562677,0,0,0,2023120114,7722140839165105
MCP3328002Z,FA98ACFC05E1408B9351A221ECFBD2AE,True,NO APPARENT INJURY,ALCOHOL,UNKNOWN,PASSENGER,SLOWING OR STOPPING,South,SUPERFICIAL,30,False,False,2,7004010053981027,230069325,Montgomery County Police,Property Damage ,False,South,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,NO CONTROLS,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04367483,-77.03068005,2279749586629528,8014065428192237,0,0,0,2023120114,7704240439043964
MCP3328002Z,EBF59D505AA647F5AE96E3AE10FF92F7,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,South,SUPERFICIAL,30,False,False,2,7004010070758646,230069325,Montgomery County Police,Property Damage ,False,South,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,NO CONTROLS,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04367483,-77.03068005,2279749586629528,8014065428192237,0,0,0,2023120114,7704240439043964
MCP30090075,0F8B5CFF6F244B7997FBC1F44410103D,False,POSSIBLE INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,30,False,False,2,2781967101306616,230069321,Montgomery County Police,Injury ,False,East,1,1,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,WET,DAYLIGHT,NO CONTROLS,UNKNOWN,T-INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.28328446,-77.20813873,97790886312176,8207334986855977,0,0,0,2023120114,7721721839291851
MCP30090075,5F3E05B949DF4EF081F985FEA6343A5E,True,NO APPARENT INJURY,UNKNOWN,LOOKED BUT DID NOT SEE,PASSENGER,MAKING U TURN,East,DISABLING,30,False,False,2,3429855151851575,230069321,Montgomery County Police,Injury ,False,East,1,1,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,WET,DAYLIGHT,NO CONTROLS,UNKNOWN,T-INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.28328446,-77.20813873,97790886312176,8207334986855977,0,0,0,2023120114,7721721839291851
MCP31680064,F7963A921F1A42B59C12232EF674009C,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,25,False,False,2,9233316820593390,230069330,Montgomery County Police,Injury ,False,West,1,1,GRADE DOWNHILL,False,False,DRIVER,HEAD ON LEFT TURN,WET,DAYLIGHT,NO CONTROLS,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.04729427,-77.16337509,107527402270506,8374576333786523,0,0,0,2023120115,7722348939035838
MCP31680064,6E73B8D5B4A84236844168BC961E0296,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,West,DISABLING,25,False,False,2,5867016817848002,230069330,Montgomery County Police,Injury ,False,West,1,1,GRADE DOWNHILL,False,False,DRIVER,HEAD ON LEFT TURN,WET,DAYLIGHT,NO CONTROLS,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.04729427,-77.16337509,107527402270506,8374576333786523,0,0,0,2023120115,7722348939035838
MCP31290086,9A8A3AB1405E457F89693517C324D0AE,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,BUS,MAKING LEFT TURN,North,SUPERFICIAL,25,False,False,1,2250767647570290,230069339,Montgomery County Police,Property Damage ,False,South,1,1,GRADE DOWNHILL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,WET,DAYLIGHT,NO CONTROLS,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0478085,-77.08423667,2720580719624268,5907084688463086,0,0,0,2023120115,7705486039088590
MCP3232004J,CD896D01BA1D4585A185E8F975814F68,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,OTHER,BACKING,South,FUNCTIONAL,10,False,False,2,8168321465439775,230069343,Montgomery County Police,Property Damage ,False,North,1,1,LEVEL,False,False,DRIVER,OTHER,DRY,DAYLIGHT,NO CONTROLS,NON INTERSECTION,UNKNOWN,OTHER,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.09446118,-76.98342275,8214565052874438,8992381236414759,0,0,0,2023120115,7699078639113935
MCP3232004J,1BED2AAE3D4B492A9C3DA2E5A4E3BA50,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,UNKNOWN,FUNCTIONAL,10,False,False,2,8445119884894438,230069343,Montgomery County Police,Property Damage ,False,North,1,1,LEVEL,False,False,DRIVER,OTHER,DRY,DAYLIGHT,NO CONTROLS,NON INTERSECTION,UNKNOWN,OTHER,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.09446118,-76.98342275,8214565052874438,8992381236414759,0,0,0,2023120115,7699078639113935
MCP3347001F,FC0D628757A942BBB46979C5186C2278,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING LEFT TURN,East,DISABLING,35,False,False,2,3285744028615415,230069347,Montgomery County Police,Property Damage ,False,East,0,2,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REND LEFT TURN,WET,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.98889918,-77.14974232,1363718650800826,2810990849197631,0,0,0,2023120116,7715220038996189
