Datetime,DateHourKey,Hour,TimeOfDay,DayNumber,WeekDayNumber,WeekDayName,WeekendFlag,MonthNumber,MonthName,Year,HolidayFlag,HolidayName
2015-08-01 00:00:00,2015080100,0,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 01:00:00,2015080101,1,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 02:00:00,2015080102,2,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 03:00:00,2015080103,3,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 04:00:00,2015080104,4,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 05:00:00,2015080105,5,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 06:00:00,2015080106,6,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 07:00:00,2015080107,7,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 08:00:00,2015080108,8,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 09:00:00,2015080109,9,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 10:00:00,2015080110,10,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 11:00:00,2015080111,11,AM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 12:00:00,2015080112,12,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 13:00:00,2015080113,13,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 14:00:00,2015080114,14,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 15:00:00,2015080115,15,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 16:00:00,2015080116,16,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 17:00:00,2015080117,17,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 18:00:00,2015080118,18,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 19:00:00,2015080119,19,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 20:00:00,2015080120,20,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 21:00:00,2015080121,21,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 22:00:00,2015080122,22,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-01 23:00:00,2015080123,23,PM,213,5,Saturday,1,8,August,2015,0,Unknown
2015-08-02 00:00:00,2015080200,0,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 01:00:00,2015080201,1,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 02:00:00,2015080202,2,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 03:00:00,2015080203,3,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 04:00:00,2015080204,4,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 05:00:00,2015080205,5,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 06:00:00,2015080206,6,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 07:00:00,2015080207,7,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 08:00:00,2015080208,8,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 09:00:00,2015080209,9,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 10:00:00,2015080210,10,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 11:00:00,2015080211,11,AM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 12:00:00,2015080212,12,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 13:00:00,2015080213,13,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 14:00:00,2015080214,14,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 15:00:00,2015080215,15,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 16:00:00,2015080216,16,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 17:00:00,2015080217,17,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 18:00:00,2015080218,18,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 19:00:00,2015080219,19,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 20:00:00,2015080220,20,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 21:00:00,2015080221,21,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 22:00:00,2015080222,22,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-02 23:00:00,2015080223,23,PM,214,6,Sunday,1,8,August,2015,0,Unknown
2015-08-03 00:00:00,2015080300,0,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 01:00:00,2015080301,1,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 02:00:00,2015080302,2,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 03:00:00,2015080303,3,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 04:00:00,2015080304,4,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 05:00:00,2015080305,5,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 06:00:00,2015080306,6,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 07:00:00,2015080307,7,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 08:00:00,2015080308,8,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 09:00:00,2015080309,9,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 10:00:00,2015080310,10,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 11:00:00,2015080311,11,AM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 12:00:00,2015080312,12,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 13:00:00,2015080313,13,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 14:00:00,2015080314,14,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 15:00:00,2015080315,15,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 16:00:00,2015080316,16,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 17:00:00,2015080317,17,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 18:00:00,2015080318,18,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 19:00:00,2015080319,19,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 20:00:00,2015080320,20,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 21:00:00,2015080321,21,PM,215,0,Monday,0,8,August,2015,0,Unknown
2015-08-03 22:00:00,2015080322,22,PM,215,0,Monday,0,8,August,2015,0,Unknown
