RoadName,RouteType,RoadKey
UNKNOWN,UNKNOWN,7781945108562677
GEORGIA AVE,Maryland (State),8554262040045692
UNIVERSITY BLVD E,Maryland (State),5005946941929880
VALLEY BEND DR,County,4173036038519949
GERMANTOWN RD,Maryland (State),3202275317843380
W GUDE DR,Municipality,5498064292481371
SEVEN LOCKS RD,County,776419263324954
NEW HAMPSHIRE AVE,Maryland (State),8901981419077344
ROCKVILLE PIKE,Maryland (State),5925405510732472
KENTLANDS BLVD,Municipality,2123523869737848
BRADLEY BLVD,Maryland (State),8659486064429145
DAMASCUS RD,Maryland (State),7954022446587951
MUNCASTER RD,County,8773472063412144
COLUMBIA PIKE,US (State),2620072274155517
GOLDSBORO RD,Maryland (State),4534450561785329
WISCONSIN AVE,Maryland (State),7307765282026999
MONTGOMERY VILLAGE AVE,County,7752142353575602
COLESVILLE RD,Maryland (State),2838165004721940
AUTOMOBILE BLVD,County,313418262973547
VEIRS MILL RD,Maryland (State),9290911226978796
DALE DR,County,3912318926152506
PINEY BRANCH RD,Maryland (State),7883959838840872
BARNESVILLE RD,Maryland (State),3010070691287401
CABIN JOHN PKWY,Interstate (State),5249777599148989
FREDERICK RD,Maryland (State),4972572914805173
NICHOLSON LA,County,2106918779836496
DAIRYMAID DR,County,3723891163962668
OLD HUNDRED RD,Maryland (State),3702584804609942
TENBROOK DR,County,5996629619687776
RIVER RD,Maryland (State),1363718650800826
CAPITAL BELTWAY,Interstate (State),2262757322158515
E RANDOLPH RD,County,6352331937544090
INTERNATIONAL DR,County,7364943818750980
DARNESTOWN RD,Maryland (State),7885715244532191
CRABBS BRANCH WAY,County,8859253252091615
COLESVILLE RD,US (State),7228418003688286
FAIRLAND RD,County,1121551715469239
RAMP 1 FR IS 270 NB TO IS 370 WB,Ramp,3909594311649118
SECOND AVE,County,4335944513939814
UNIVERSITY BLVD W,Maryland (State),5963249679537482
BUBBLING SPRING RD,County,3528479247318253
13046 THYME CT,UNKNOWN,1671201279889771
BATCHELLORS FOREST RD,County,4841464977501093
RAMP 1 FR RAMP 8 (FR IS270) TO MD 124 EB,Ramp,4193768869771696
REDLAND BLVD,Municipality,6551387848810278
SPENCERVILLE RD,Maryland (State),4498045280709180
OLD GEORGETOWN RD,Maryland (State),4494898042244063
WOODFIELD RD,Maryland (State),6327735360341145
MIDDLEBROOK RD,County,4357136094388064
MIDCOUNTY HWY,County,4810614249402166
RUSSELL AVE,Municipality,5282047677761920
HOMECREST RD,County,4506373220064526
PHILADELPHIA AVE,Maryland (State),5799511491379277
SLIGO CREEK PKWY,Government,8891242047416743
FLEET ST,Municipality,4405280479347503
YOSEMITE DR,County,6836138389656413
BLUHILL RD,County,2602402406295114
BEACH DR,Government,1431569093396660
MUDDY BRANCH RD,County,4261994559990100
REDLAND RD,County,9696254272695630
DIAMONDBACK DR,County,5912468249906521
MENDEN FARM DR,County,6303553597259172
STEWART LA,County,4258050122640121
BRIGGS CHANEY RD,County,6740740251212367
NORWOOD RD,County,2732602760968682
NORBECK RD,Maryland (State),418179445979580
OBSERVATION DR,Other Public Roadway,7060626194080030
OLD COLUMBIA PIKE,County,2808299851855837
MAIN ST,Maryland (State),6676754628254912
OLNEY SANDY SPRING RD,Maryland (State),3800611912574069
FALLS RD,Maryland (State),8203864555493010
QUINCE ORCHARD RD,Maryland (State),5149059297554549
RANDOLPH RD,County,8073720238398338
S FREDERICK RD,Maryland (State),6273686865093515
BONIFANT RD,County,1446899345320601
SHADY GROVE RD,County,1611524329361443
BOWIE MILL RD,County,5160157020376117
SNOUFFERS SCHOOL RD,County,6658835996254298
SENECA MEADOWS PKWY,County,221466616673725
DEMOCRACY BLVD,County,6477653073943693
CHESTNUT ST,Municipality,3773360613594093
BEL PRE RD,County,3786639377990067
SPATES HILL RD,Municipality,9065196314709470
DARNESTOWN RD,County,28596908957711
GLEN RD,County,1912189349021402
FENWICK LA,County,7028044703065112
MACARTHUR BLVD,County,8599911420118079
LAYTONSVILLE RD,Maryland (State),7528477191383850
MARTINSBURG RD,County,587954187704886
HALPINE RD,Municipality,744895089024983
CLOPPER RD,Maryland (State),278210474574513
16TH ST,Maryland (State),118399697147806
EISENHOWER MEMORIAL HWY,Interstate (State),1257986858156867
CONNECTICUT AVE,Maryland (State),1627793738140795
RIDGE RD,Maryland (State),2800615797607229
LAYHILL RD,Maryland (State),1498137660831595
SEMINARY RD,County,424439313025704
TRAVILAH RD,County,4096686202662173
RAMP 3 FR IS 495 EB TO MD 97 NB,Ramp,74315933863788
HUNGERFORD DR,Maryland (State),4906760034738084
MARINELLI RD,County,9920980496333979
CALVERTON BLVD,County,1985337670340704
ETHAN ALLEN AVE,Maryland (State),8581221189109699
S GLEN RD,County,197389978076492
GUNNERS BRANCH RD,County,5890474799012741
W DEER PARK RD,Municipality,3826577284116979
ODENDHAL AVE,Municipality,2002984095283941
AVERY RD,County,1794483657650329
WASHINGTONIAN BLVD,Municipality,7224180738491710
CONNECTICUT AVE,County,2128650102927787
BLUNT RD,County,2726431851906177
FATHER HURLEY BLVD,County,1482134744854050
HILLMEAD RD,County,4725271538893890
MONTROSE RD,County,2286014561620445
INTERCOUNTY CONNECTOR,Maryland (State),5110875374763793
COMMERCE LA,County,9212312080722898
BATTERY LA,County,3774978101447126
STANFORD ST,Municipality,4531291599391054
FIRST ST,Maryland (State),3061978792393151
DICKERSON RD,Maryland (State),7396381925364162
ELMCROFT BLVD,Municipality,1334006375897390
OLNEY LAYTONSVILLE RD,Maryland (State),4931198458935200
ASPENWOOD LA,Other Public Roadway,8241094089374077
WYNGATE DR,County,4751386178895751
FLOWER HILL WAY,County,2854243029299014
N STONESTREET AVE,Municipality,9077059736418609
PROSPERITY DR,County,2202107057546477
LOCKWOOD DR,County,765319533444332
OLD BALTIMORE RD,County,3906325989897185
OLD COLUMBIA PIKE,Maryland (State),6629666294615025
W DIAMOND AVE,Maryland (State),6421645165822542
PERSIMMON TREE RD,County,5649845508558429
CLARKSBURG RD,County,4589056521255030
HEATHFIELD RD,County,1684887375913352
WESTBARD AVE,County,2052288921397402
CRYSTAL ROCK DR,County,2920221302411348
TUCKERMAN LA,County,5080022737134299
BEALL AVE #2,Municipality,9735215104329978
RAMP 4 FR IS 270 NB TO MONTROSE RD EB,Ramp,4776928624201164
GRANDVIEW AVE,County,6596794406628299
ROTHBURY DR,County,166580057371899
MANCHESTER RD,County,6448795948452808
CLARKSBURG RD,Maryland (State),7839795289588938
HINES RD,County,3992269269393601
CHERRY HILL RD,County,6224438663177179
WILLARD AVE,County,8655009953594281
BAUER DR,County,2947363850774353
N SUMMIT AVE,Municipality,1465668050874516
SOUTHLAWN LA,County,7776595251600984
W MONTGOMERY AVE,Maryland (State),9077163038200495
DICKENS AVE,County,2630308449445695
GREAT SENECA HWY,Maryland (State),7771692879388507
TECH RD,Other Public Roadway,7440230099901702
MEDICAL CENTER DR,County,7334938358929457
EAST WEST HWY (W/B COUPLET),Maryland (State),9985750448851330
GAINSBOROUGH RD,County,107527402270506
