unique_makes_to_map,unique_makes
LEXUS,Lexus
TOYT,Toyota
SUBARU,Subaru
DODGE,Dodge
NISSAN,Nissan
MERCEDES-BENZ,Mercedes-Benz
TOYOTA,Toyota
HYUN,Hyundai
FORD,Ford
HOND,Honda
FRHT,Freightliner
KIA,Kia
JEEP,Jeep
HONDA,Honda
VOLVO,Volvo
GMC,GMC
HYUNDAI,Hyundai
UNK,Unknown
KENWORTH,Kenworth
GILL,Gillig
SUBA,Subaru
BMW,BMW
VOLK,Volkswagen
VOLKSWAGON,Volkswagen
YAMAHA,Yamaha
UNKNOWN,Unknown
INFI,Infiniti
MAZDA,Mazda
TOYTA,Toyota
ACUR,Acura
FREIGHT,Freightliner
CHEVROLET,Chevrolet
INFINITY,Infiniti
HARLEY DAVIDSON,Harley-Davidson
ACURA,Acura
DODG,Dodge
GILLIG,Gillig
MERZ,Mercedes-Benz
CHEVY,Chevrolet
INFINITI,Infiniti
JAGUAR,Jaguar
GILG,Gillig
MERCEDEZ,Mercedes-Benz
CHEV,Chevrolet
MAZD,Mazda
FREIGHTLINER,Freightliner
HINO,Hino
RAM,Ram
NISS,Nissan
VOLKSWAGEN,Volkswagen
PORS,Porsche
SATURN,Saturn
TOYTOA,Toyota
KW,Kenworth
METRO,Metro
MERCURY,Mercury
NEW FLYER,New Flyer
INT,International
CADILLAC,Cadillac
CHRYSLER,Chrysler
HYUNDIA,Hyundai
GILLIS,Gillig
VOLKS,Volkswagen
THOMAS,Thomas
MERCEDES,Mercedes-Benz
PIER,Pierce
TESL,Tesla
THMS,Thomas
MACK,Mack
MITS,Mitsubishi
INTL,International
LAND ROVER,Land Rover
LEXS,Lexus
TESLA,Tesla
MINI,MINI
CHRY,Chrysler
AUDI,Audi
BUICK,Buick
PORSCHE,Porsche
TBU,No match found
SUZUKI,Suzuki
VOLV,Volvo
INTERNATIONAL,International
NABI,NABI
TOYTOTA,Toyota
NWFL,No match found
VW,Volkswagen
FRT,Freightliner
PONTIAC,Pontiac
LINCOLN,Lincoln
MERC,Mercury
CHEVORLET,Chevrolet
LNDR,Land Rover
GIL,Gillig
FTL,Freightliner
LEXSUS,Lexus
HYUND,Hyundai
GENS,Genesis
SCION,Scion
MERCEDES BENZ,Mercedes-Benz
BUIC,Buick
HD,Harley-Davidson
CADILAC,Cadillac
LEXU,Lexus
NEWFLYER,New Flyer
AUTOCAR,Autocar
NFLY,New Flyer
FIAT,Fiat
HYUNDI,Hyundai
MCI,MCI
UU,Unknown
NISSIAN,Nissan
SPARTAN,Spartan
PIRC,Pierce
NEW,New Flyer
EMON,No match found
PETERBILT,Peterbilt
NISAN,Nissan
CADI,Cadillac
SUBURU,Subaru
MITSUBISHI,Mitsubishi
KAWASAKI,Kawasaki
BU,Buick
ISUZU,Isuzu
SUB,Subaru
HYUNDA,Hyundai
BUS,No match found
MASERATI,Maserati
YAMA,Yamaha
LANDROVER,Land Rover
PIERCE,Pierce
GENESIS,Genesis
THOM,Thomas
ISU,Isuzu
LINC,Lincoln
SPAR,Spartan
KAWK,Kawasaki
HUNDAI,Hyundai
INTE,International
PETE,Peterbilt
JAGU,Jaguar
THOMPSON,Thomas
NOVA,Nova
MNNI,MINI
AUTO,Autocar
RANGE ROVER,Land Rover
NOVB,Nova
TOYO,Toyota
JOHN DEERE,John Deere
TOYOYA,Toyota
MITZ,Mitsubishi
VOLKS WAGON,Volkswagen
TOY,Toyota
HUMMER,Hummer
SAA,Saab
GM,General Motors
MERCEDEZ BENZ,Mercedes-Benz
TOTOTA,Toyota
KENW,Kenworth
TOYOA,Toyota
STERLING,Sterling
MINI COOPER,MINI
SAAB,Saab
CHRYS,Chrysler
CHEVEROLET,Chevrolet
PETERBUILT,Peterbilt
NISSA,Nissan
TOYOT,Toyota
PTRB,Peterbilt
POSTAL,No match found
OTHR,Other
PONT,Pontiac
PORCHE,Porsche
SMART,Smart
STRG,Sterling
FREI,Freightliner
INFINTI,Infiniti
SUBU,Subaru
THOM BU,Thomas
IC,International
USPS,No match found
FREIGHT LINER,Freightliner
SATU,Saturn
TRUCK,No match found
HYUDAI,Hyundai
LEX,Lexus
SUZI,Suzuki
TRIUMPH,Triumph
DUCATI,Ducati
ORION,Orion
STRN,Saturn
VOLKWAGEN,Volkswagen
GRUMMAN,Grumman
MITSU,Mitsubishi
HARLEY,Harley-Davidson
CHRYSTLER,Chrysler
THOMAS BUS,Thomas
FLYER,New Flyer
STER,Sterling
OLDSMOBILE,Oldsmobile
ISUZ,Isuzu
SCIO,Scion
TSMR,No match found
SUZU,Suzuki
FRIEGHTLINER,Freightliner
OLDS,Oldsmobile
ACCURA,Acura
MADZA,Mazda
THOMAS BUILT,Thomas
HUMM,Hummer
TRANSIT,No match found
00,Unknown
GEO,Geo
PLYM,Plymouth
VANH,No match found
GENERAL MOTORS,General Motors
ORIO,Orion
HINDA,Honda
VOLKWAGON,Volkswagen
STLG,Sterling
MAZADA,Mazda
99,Unknown
HYNDAI,Hyundai
HYANDAI,Hyundai
XX,Unknown
TOTY,Toyota
CRAN,Crane
INTER,International
PLYMOUTH,Plymouth
GILIG,Gillig
CRYSLER,Chrysler
CRANE,Crane
SEAG,Seagrave
